Model_Scenario,Category,Demand_GrowthRate,Demand_Growth,Renewables_GrowthRate,Renewables_Growth,TFC_GrowthRate,TFC_Growth,shares_2024_2050
POLES ENGAGE_EN_NPi2020_1000,C4,2.252099175515987,19448.95080161948,5.184905636987325,29496.47391486168,2.236164313183342,19268.121696167007,1.5166100328869956
POLES ENGAGE_EN_NPi2020_1000_COV,C4,2.0699369819974445,16884.26073871505,5.2406793440317845,27305.374513034818,2.0516749410037116,16693.207840576168,1.6172087683071905
POLES ENGAGE_EN_NPi2020_1000f,C4,2.127514116670559,18489.17386395878,5.238314529988464,27878.49476603507,2.1117387290730427,18311.928636474593,1.507828038784309
POLES ENGAGE_EN_NPi2020_1000f_COV,C4,1.9872398480912379,16281.34940146956,5.256684799195077,25507.299060344692,1.9685158312778395,16086.56734680177,1.5666575559174716
POLES ENGAGE_EN_NPi2020_1200,C4,2.2188338683950093,19300.576372837753,4.973819050658745,26734.876358900063,2.202227918740851,19111.811720581045,1.3851853873402875
POLES ENGAGE_EN_NPi2020_1200f,C4,2.144678293041813,18681.246431381973,5.02623744602122,25940.029501905457,2.12871359745046,18501.131563110343,1.3885598906467884
POLES ENGAGE_EN_NPi2020_300f,C2,2.230802356258854,18727.44958594163,5.228439005494767,31416.709931631107,2.2175823958954455,18581.20592102052,1.677575464157975
POLES ENGAGE_EN_NPi2020_400f,C2,2.221765345004978,18798.707329791872,5.296176439229905,31659.534413137444,2.2074791698689644,18639.862855224626,1.684133587364486
POLES ENGAGE_EN_NPi2020_500,C3,2.820380994493732,22074.935141002516,4.653265753727465,29968.40190367698,2.81538048193708,22008.30908752442,1.3575759888876389
POLES ENGAGE_EN_NPi2020_500f,C3,2.2069808890027742,18852.355552357854,5.3546586531230345,31595.771786985388,2.19075712591168,18671.104334106447,1.6759588317351526
POLES ENGAGE_EN_NPi2020_600,C3,2.6702922480156266,21487.04668855814,4.811793166911027,30159.226524267207,2.6557701500320663,21323.597536010733,1.40360036264672
POLES ENGAGE_EN_NPi2020_600f,C3,2.1892347427054037,18847.56370705065,5.383306410266231,31162.693133726138,2.1726952679495204,18661.980543823232,1.6534069664435487
POLES ENGAGE_EN_NPi2020_600f_COV,C3,2.020576667662266,16372.630478302199,5.452767141017922,29304.547540111562,1.9993454895820717,16153.50622741699,1.7898496871927432
POLES ENGAGE_EN_NPi2020_700,C3,2.3442922116243103,19787.262437487214,5.1896122883343,31428.235901784916,2.3296837476904697,19622.81942871093,1.5883064168716807
POLES ENGAGE_EN_NPi2020_700f,C3,2.169726308795572,18759.817087460884,5.377671811261764,30611.313692121505,2.1531183276593424,18573.214762573236,1.631749049012967
POLES ENGAGE_EN_NPi2020_800,C3,2.2632382762779235,19439.759538470385,5.283556781772125,30999.67670176506,2.24541100956801,19238.374002685552,1.5946533001304946
POLES ENGAGE_EN_NPi2020_800f,C4,2.14740519581067,18605.11082849794,5.4618662366357595,30480.06966021538,2.1313637631170446,18424.964615478515,1.6382632676139857
POLES ENGAGE_EN_NPi2020_900,C3,2.219409879219114,19182.831085050835,5.293636604890484,30252.424172658924,2.2027336261813524,18994.343556518557,1.5770573195650257
POLES ENGAGE_EN_NPi2020_900f,C4,2.1276084181152566,18454.1339609364,5.3859505588982115,29432.56324542044,2.1118768429104984,18277.684326782222,1.5949035217649938
POLES GECO2019_CO_2Deg2020,C3,2.0790690890788444,17947.664317025137,5.543739024247518,30801.265948820117,2.062113907447327,17759.480676269533,1.716171274699074
POLES GECO2019_CO_2Deg2030,C3,1.751086471489538,14732.320777935383,5.5892141408240725,30436.771899347314,1.7405005952968011,14621.815810546886,2.0659862324564986
POLES GECO2019_CO_Bridge,C2,2.6532085929584115,25324.13401052078,5.666872463202632,33465.9979169941,2.633463635785449,25066.56255798339,1.3215061136183701
POLES GECO2019_CO_Bridge_notax,C4,1.7436609478665321,15212.675976484694,5.944542804300412,33434.51123147966,1.7380335184813411,15151.319498291014,2.1978060456399477
REMIND 1.6_EMF30_Slower-to-faster,C3,3.3570250536481883,38976.36980022933,6.821121195428481,52991.652343067995,3.3539970342045144,38924.396013695994,1.3595840919683648
REMIND 1.6_EMF30_Slower-to-faster+SLCF,C3,3.4047437300838146,39479.84099717867,6.758178954981897,53172.403524228,3.401586447525373,39425.455184112,1.346824155852802
REMIND 1.6_EMF30_Slower-to-faster+SLCF+HFC,C3,3.3987357161356258,39377.30982365866,6.7585467108821184,53178.230156988,3.395551666336827,39322.547396591995,1.350479004155776
REMIND 1.7_ADVANCE_2020_1.5C-2100,C1,4.08240155095787,49843.53716400001,7.026600678839001,61494.435828,4.08240155095787,49843.53716400001,1.2337494352711182
REMIND 1.7_ADVANCE_2020_Med2C,C3,3.441221541716599,40243.185864,6.584866645157961,50898.966036000005,3.441221541716599,40243.185864,1.2647847068572236
REMIND 1.7_ADVANCE_2020_WB2C,C2,3.7722027202873543,44746.546103999994,6.862067064426047,56845.46949600001,3.7722027202873543,44746.546103999994,1.2703878722590047
REMIND 1.7_ADVANCE_2030_1.5C-2100,C2,3.737789957653459,46304.137367999996,7.382537489206653,62598.890844,3.737789957653459,46304.137367999996,1.3519070735839047
REMIND 1.7_ADVANCE_2030_Med2C,C4,3.2727325220812897,38000.778708,6.637622837932811,50305.990824,3.2727325220812897,38000.778708,1.3238147357598617
REMIND 1.7_ADVANCE_2030_Price1.5C,C2,3.607240386188737,43878.359988,7.200031063865975,59386.522764,3.607240386188737,43878.359988,1.3534353330489386
REMIND 1.7_ADVANCE_2030_WB2C,C2,3.4335827136449337,40767.777828000006,6.972717423786889,55572.050964,3.4335827136449337,40767.777828000006,1.3631366222230579
REMIND 1.7_CEMICS-1.5-CDR12,C1,4.428966393334077,56444.23480933333,7.509560629212908,68703.340272,4.4194831868573425,56242.949076000004,1.2171896829512794
REMIND 1.7_CEMICS-1.5-CDR20,C1,4.01270243938836,49747.45680399999,7.29297760630454,62147.688083999994,4.002098243006946,49540.124004,1.249263622236121
REMIND 1.7_CEMICS-1.5-CDR8,C1,4.8329604828928785,64710.73990533332,7.812665540613728,77337.986544,4.6921556912493445,61542.072971999994,1.195133708208859
REMIND 1.7_CEMICS-2.0-CDR12,C2,3.7464055457689938,44980.15902533334,7.05302058695958,56713.30336800001,3.741193095720874,44883.62929200001,1.2608515531494324
REMIND 1.7_CEMICS-2.0-CDR20,C2,3.6090364745696935,42904.21905333334,6.995932972956642,55004.65002000001,3.604582305658055,42823.81451999999,1.2820335909534881
REMIND 1.7_CEMICS-2.0-CDR8,C1,3.940927465993793,48286.42376400001,7.191981752834131,60333.804096,3.9325579975780567,48124.78856400001,1.2494982935758836
REMIND 2.1_CEMICS_GDPgrowth_1p5,C1,4.329670944310471,50314.36367733334,6.824205612643253,57102.867864,3.7717079066426296,40249.46414400001,1.1349217935101281
REMIND 2.1_CEMICS_GDPgrowth_2C,C3,3.456802301340267,36797.19813466667,6.27510721587452,44854.92144,3.053675778451659,30631.078068,1.2189765447859504
REMIND 2.1_CEMICS_HotellingConst_1p5,C1,4.514580159419146,54707.713549333355,7.158911842005078,61657.44886799999,3.8225420177611102,41771.31921600001,1.127033920224058
REMIND 2.1_CEMICS_HotellingConst_2C,C3,3.263309719062124,34545.770294666654,6.294133250996481,43757.122512,2.866133919726166,28651.530828,1.2666419691546273
REMIND 2.1_CEMICS_Linear_1p5,C1,4.270178324059448,49532.89474533334,6.835168970399086,56941.12159200001,3.80183085388921,41014.26421200001,1.1495617586001194
REMIND 2.1_CEMICS_Linear_2C,C3,3.3339227203091237,35616.748569333344,6.345293311353872,44908.942428,2.9311504960609858,29537.257235999998,1.2608939398434422
