Ren_scenarios,Dem_scenarios,Region,Fuel type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_1.75,Asia,Oil,87894.2283863175,81294.66999186108,75732.09076893653,69691.09037437032,63086.36265697601,55828.44984604474,47820.160728393246,45520.67224713227,42664.624111541794,38951.347576874214,33862.65655896453,26407.731607343594,26540.90814661513,26656.912565972085,26745.90924332629,26792.65521941287,26771.964142578974,25228.456731367067,23472.673618696463,21460.07981792535,19133.95220930207,16420.884531840282,14136.169089578429,11608.884402196987,8800.64461323076,5665.106947529077,2145.8529911510473
50.0,All_1.75,Asia,Gas,1263005.5689595612,1390326.5439397476,1537411.4612761382,1697581.9204471323,1872196.1539528866,2062836.9524037181,2271348.106929909,2583047.6535229655,2982682.609177758,3511655.96139407,4242636.953806039,5315725.260713708,5709505.970415855,6188433.94686163,6783943.228129046,7545307.580259146,8554355.385453545,8694683.952034881,8850746.197383216,9025115.7546929,9221078.666284656,9442895.106413104,9573514.568305118,9715404.195314944,9869942.151136652,10038764.788094772,10223841.560723882
50.0,All_2.0,Asia,Coal,7866392.253585203,7939465.78884039,7895081.338921931,7846261.981053499,7790281.776327337,7724564.877106846,7646533.421716088,7332066.3193102125,6937364.734677817,6418522.309409713,5699899.4291492095,4636886.882478698,4335234.729960795,3948004.4831631514,3442109.5334874005,2765736.6857453496,1832872.5181718064,1747116.6183643222,1648428.72624797,1534043.4290869078,1400435.9877433248,1243042.287257489,1171194.0824333704,1090756.599465131,1000315.8254339067,898161.5860781529,782208.9588901587
50.0,All_2.0,Asia,Oil,87894.2283863175,81458.67877066127,76038.61887030603,70115.98377415299,63601.77222053163,56401.81003157951,48413.10395405955,46182.78911247786,43378.28737074957,39689.36203725668,34580.75785471364,27028.470909088475,27227.291346299262,27410.04899474507,27566.481828973283,27680.639333246523,27726.11415369492,26193.153896769414,24432.20042784645,22394.867895992258,20019.484358093003,17226.192126210197,14872.006112194249,12248.685162522299,9313.011193139871,6012.779928155954,2284.404486216968
50.0,All_2.0,Asia,Gas,1263005.5689595612,1393131.4727084835,1543634.18418612,1707931.7564120123,1887491.8178960776,2084022.3620115397,2299511.5520672738,2620619.1420568735,3032574.7865114445,3578191.602408344,4332607.540981209,5440676.530124725,5857161.391810675,6363275.4642692525,6992076.658364823,7795380.34125986,8859231.719616078,9027155.218585588,9212551.094231736,9418244.330273211,9647836.37510529,9905990.448645607,10071849.471578471,10250849.529739488,10444562.38932648,10654853.294104593,10883965.315425063
50.0,All_2.25,Asia,Coal,7866392.253585203,7955451.097072795,7926986.220113896,7894042.916976801,7853877.770703279,7803863.61959735,7741339.679249713,7438742.522015538,7053473.920023612,6540236.540742023,5820903.056159059,4746020.536811732,4447509.892036484,4059720.330320292,3547888.1993403486,2857557.6992334197,1898309.9907780963,1814036.6502600454,1715921.9500513978,1600964.3967193712,1465335.1414887444,1304072.8205114657,1232203.1136825483,1150887.9190605176,1058540.8712010744,953241.9196390759,832648.586662982
50.0,All_2.25,Asia,Oil,87894.2283863175,81622.68754946145,76345.8991878752,70542.96509799891,64120.98552559181,56980.81903478536,49013.35833710266,46854.71491869772,44104.30046086964,40441.990128204096,35314.87556629478,27664.612328127387,27932.431607254734,28185.66534906422,28413.62095739434,28599.62210216889,28715.995783444585,27196.433629671523,25432.551820193385,23371.819526685686,20947.229435076864,18071.95876035873,15646.708357744948,12923.931686349948,9855.090493660286,6381.517501889634,2431.711047536386
50.0,All_2.25,Asia,Gas,1263005.5689595612,1395936.4014772188,1549872.1775817703,1718332.451419591,1902900.3644008162,2105416.4929766874,2328022.260434505,2658747.234007604,3083330.3401587754,3646044.7342434363,4424584.817665756,5568728.157612148,6008851.85046664,6543335.723120714,7206948.536574354,8054182.89724742,9175525.25733762,9372923.502628904,9589749.55170994,9829104.943493268,10094937.4362738,10392351.92297927,10596505.280863184,10815959.206361424,11052505.508563627,11308268.985199306,11585802.27722781
50.0,All_2.5,Asia,Coal,7866392.253585203,7971436.405305202,7958969.2038302,7942058.072706374,7917941.954107926,7883941.703885762,7837312.049046697,7546995.188681905,7171587.401905564,6664354.919140967,5944598.857144644,4857855.372097601,4562845.638293892,4174762.44496732,3657083.0077335057,2952576.1223898735,1966191.905615891,1883626.4418705346,1786279.611778977,1670896.2864646069,1533320.2683477604,1368161.875550754,1296426.4195009128,1214342.2231163252,1120133.9638775834,1011651.0251122257,886267.4602652352
50.0,All_2.5,Asia,Oil,87894.2283863175,81786.69632826165,76653.93172164404,70972.03946336902,64644.021240779715,57565.51849288862,49620.995819272466,47536.57046361409,44842.8461126247,41209.484423352216,36065.326446121246,28316.498964303206,28656.793761001754,28984.375181431908,29288.11860835621,29550.605872591994,29742.854826342664,28239.738983268446,26475.358503667943,24392.726368608557,21919.08905283077,18960.11066525475,16462.22596580149,13636.493767539901,10428.526549485568,6772.539677024098,2588.30244681757
50.0,All_2.5,Asia,Gas,1263005.5689595612,1398741.3302459547,1556125.441463089,1728784.130124384,1918422.3474905565,2127020.8837765744,2356883.6490999465,2697438.7839868288,3134962.0448191646,3715238.127657455,4518608.469626551,5699949.207211042,6164677.3413924035,6728757.160358943,7428759.7437868295,8321997.527522579,9503634.063136682,9732486.1350793,9982956.454268184,10258451.082989715,10563298.279337753,10903087.216211015,11148802.699772416,11412298.044200577,11695615.297346901,12001173.758129708,12331876.524916187
50.0,All_2.75,Asia,Coal,7866392.253585203,7987421.713537608,7991030.290070847,7990308.020906786,7982476.61877073,7964804.86039218,7934461.977487753,7656843.685878579,7291734.763369962,6790918.894171522,6071039.943227054,4972451.411684404,4681317.627671087,4293221.387407161,3769795.54553064,3050895.087463388,2036603.2772639631,1955985.5983896793,1859615.8444011079,1743966.722675171,1604530.0385880247,1435454.7028987724,1364024.8789505367,1281294.3627484986,1185280.9934842766,1073581.2124733098,943257.4731599248
