Ren_scenarios,Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
50.0,All_1.5,Mideast+Africa,1844464.766337048,1893235.5860863044,1920175.541345754,1948102.1588639123,1976858.325998626,2006333.4710793237,2036449.295984417,2075148.6980032853,2116522.6178745134,2160014.0090392753,2205223.302789717,2251859.883918682,2305530.6527004973,2360574.5350433774,2416709.275019728,2473732.704812199,2531500.5084976265,2636787.84477339,2741747.122857196,2846385.005770689,2950728.816923038,3054820.1164077017,3144316.1104532327,3233326.0867418516,3321919.7449829723,3410169.7382693347,3498149.797511134
50.0,All_1.5,OECD+EU,4447851.994881822,4365301.279719013,4387411.713308142,4406982.241804486,4425046.035959449,4442339.873783015,4459395.936660202,4577181.218873899,4688054.358699046,4793761.183920001,4895598.054008682,4994547.551427161,5052410.813500669,5110907.163407546,5170304.411064077,5230792.971974187,5292508.2127259355,5332309.799768635,5374164.339636931,5418066.215623904,5463996.620300069,5511928.21232319,5562828.655086029,5615352.416778954,5669488.167584495,5725225.437763023,5782554.953601029
50.0,All_1.75,Asia,9217292.050931081,9395101.694539592,9476398.112299375,9565987.703093406,9662434.200958159,9764705.176197091,9872050.181374824,9855515.72824694,9848577.855558574,9849778.688169554,9858035.376609303,9872528.540703155,9961993.018355196,10054617.389931887,10150337.256396456,10249113.167035216,10350924.48245092,10402682.50146948,10457908.788296549,10516586.4898655,10578702.400866156,10644247.269877598,10700896.486562094,10760794.837196544,10824025.035625117,10890657.68020848,10960754.590135371
50.0,All_1.75,E. Europe+Russia,968383.7893453389,983723.324967858,980118.4240252748,977330.0635636634,975309.0434422572,974011.248578103,973397.232604546,972324.0677574694,972388.5363432735,973433.0223736751,975338.9590339669,978015.3824351886,973447.0300943987,969759.3569150118,966870.5029918764,964714.881409657,963239.4076123358,977358.2588987901,992076.7220386,1007363.2985649686,1023192.6177197793,1039544.2422707777,1047504.1320372592,1056259.855147882,1065759.9266620646,1075960.4091457939,1086823.6928187874
50.0,All_1.75,Latin America,553802.0209931645,583653.0057840043,631055.2478554781,674942.8780402712,716029.6878252653,754860.2531405261,791858.3316946521,835358.519494313,876455.1844024793,915673.40832597,953410.458688419,989973.6728354058,1033671.8808079183,1076091.381892979,1117469.7582931765,1158002.2494698986,1197851.547307481,1249007.1858768812,1299447.2943495319,1349304.7836844102,1398696.7115060731,1447726.950598958,1472226.428222229,1496978.4618550125,1521987.8909894195,1547261.496867404,1572807.4816878492
50.0,All_1.75,Mideast+Africa,1844464.766337048,1897659.5261608572,1929153.6336319915,1961778.4846228492,1995387.750852291,2029879.6092136786,2065183.1477181606,2109173.6032693163,2156078.291541938,2205354.590572572,2256614.250042008,2309575.944708133,2369764.281940731,2431648.122553946,2494950.177104348,2559472.7468800466,2625075.769976221,2740198.1300051645,2855525.104460694,2971065.068317722,3086847.8489045077,3202918.2922427175,3303563.970685026,3404177.9486630047,3504833.638939457,3605608.103184036,3706580.131219368
50.0,All_1.75,OECD+EU,4447851.994881822,4375104.432932532,4407373.46152052,4437401.052308949,4466183.685324969,4494435.003003014,4522673.301287084,4653814.221017359,4778600.985980989,4898752.215819454,5015547.395967969,5129959.468650506,5201834.334979525,5274585.785342982,5348493.1301118815,5423758.843877275,5500530.660434399,5554724.974776743,5611179.623291853,5669903.474297108,5730891.803173458,5794130.976758049,5862626.673937669,5933200.9900158495,6005855.471564497,6080592.5854610475,6157416.077978756
50.0,All_2.0,Asia,9217292.050931081,9414055.940319534,9514754.141978357,9624309.721239664,9741375.366443947,9864989.049149966,9994458.077737423,9998868.250479564,10013317.808560012,10036403.273855314,10067087.727985132,10104591.883512512,10219623.413117768,10338689.99642715,10461752.673681196,10588797.666338457,10719830.35194158,10800464.99084668,10885412.020907553,10974682.62725611,11068291.847206708,11166258.928029306,11257915.560124036,11353854.81436714,11454191.225953525,11559027.6601109,11668458.678801438
50.0,All_2.0,E. Europe+Russia,968383.7893453389,986394.5202468525,985471.3833275926,985381.1788238414,986080.1363333075,987529.2178740627,989693.7432697378,991379.5842626768,994247.7306222054,998147.0895026217,1002964.6908971131,1008614.5167167243,1007036.7853393813,1006412.3505205126,1006663.8168173813,1007729.777310295,1009561.117981196,1027168.3807284298,1045481.3007912912,1064471.9939015154,1084118.675834043,1104404.4893195557,1115766.274169224,1128012.7366320677,1141095.8264068435,1154974.9846057137,1169615.9437419372
50.0,All_2.0,Latin America,553802.0209931645,583778.2669438455,631639.9840012157,676276.281450166,718368.0691619336,758435.5290829679,796884.1211339221,842190.1333835562,885291.8627197964,926704.2396418283,966817.575900489,1005934.554259415,1052570.1818815735,1098115.0037819487,1142804.8143180977,1186834.093017037,1230365.6066591975,1285888.6672928026,1340933.607717764,1395634.845315001,1450111.54229316,1504470.2088089075,1532884.665940352,1561697.973886725,1590917.989864246,1620554.6593240655,1650619.4930974133
