Dem_scenarios,Ren_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_0.5,50.0,Asia,4110455.5378154577,4187973.5200436064,4312035.024931594,4424817.707166387,4528581.033016172,4625028.99605006,4715471.005700223,4812475.558612881,4901701.998902618,4984783.771102539,5062938.011349144,5137090.310469216,5184494.173733063,5231275.746308286,5277571.483094197,5323489.695283058,5369117.501614464,5403971.926459638,5439471.201349253,5475557.753716639,5512183.834271931,5549309.542276465,5543072.580928,5540005.326289718,5539776.529024162,5542102.12911859,5546737.162463592
All_0.5,50.0,Latin America,995978.1151765023,987460.9057780883,960887.1043701441,938667.0774859589,919949.3839530839,904092.0296768371,890601.8035862539,877085.1302558715,866295.7452517069,857681.6447587275,850831.6369450998,845433.1428810967,840642.1137890643,837027.6893775301,834400.7616245168,832611.5503444594,831539.8914849889,832540.5921198241,833980.2126989019,835804.8875239958,837969.8049759216,840437.3866151241,855125.9674546042,869322.887314894,883086.9665548027,896468.6961555231,909511.6665885054
All_0.5,50.0,Mideast+Africa,245722.47244602663,255402.76739745212,267705.0679633755,278724.5125145636,288716.3334144846,297873.00532985973,306342.42247058963,334924.8640046462,360065.34880019503,382472.1909664628,402673.09217937296,421069.2687441146,455808.66845966177,487363.23647083866,516262.52999253565,542926.0905098377,567690.6119784864,604373.2636813099,638579.9051299368,670641.7433335967,700834.4992537582,729389.5679120529,780571.552143292,828937.884659758,874807.5608165454,918454.29894676,960114.3068018949
All_0.5,50.0,OECD+EU,3484255.9983094623,3479674.6835128,3440438.109769135,3409708.84795569,3385835.522683584,3367573.059720924,3353965.0057624113,3307682.192645035,3271061.2421813756,3242148.2123480733,3219487.607066512,3201973.0000490323,3193777.4606621843,3189027.5561631527,3187174.230382992,3187782.6420253157,3190503.9603722403,3189594.89669732,3190736.039755025,3193672.174693691,3198190.960310557,3204114.3064277386,3215372.2315717093,3227536.717358582,3240520.0950101432,3254247.2325312016,3268653.3848161222
All_0.5,50.0,E. Europe+Russia,277853.67023821763,275709.5082674136,277471.44693387253,279295.55465912574,281171.75725707354,283092.47174210596,285051.88485667453,293405.79951336473,300961.3396648263,307884.5460426827,314299.1315482155,320299.1663840913,327156.0583699795,333577.9011129797,339638.7470294779,345397.27476543305,350900.5857863288,357204.8970783614,363240.9070272808,369046.0100660375,374651.3454122304,380083.0552579006,389092.45772788743,397732.4101954331,406046.01258559007,414070.25510288076,421837.0662878814
All_0.75,50.0,Asia,4110455.5378154577,4204375.699849361,4345756.795003548,4476641.006830896,4599188.508191659,4715029.060872893,4825415.6517100455,4943186.884614375,5053631.396314705,5158348.444468588,5258530.374236701,5355084.572307908,5424166.408855734,5492904.153738693,5561434.476076348,5629866.394857412,5698288.113708567,5755531.444054749,5813679.341824003,5872677.6216122275,5932481.792848162,5993055.1153344745,6006871.151638822,6024046.880839982,6044257.286327715,6067223.972400144,6092707.171538292
All_0.75,50.0,Latin America,995978.1151765023,991328.292056967,968401.6105861944,949660.7112266166,934292.7958996976,921685.0742493604,911366.8342507695,900907.5806757511,893146.7840513346,887545.1737221269,883701.1229859202,881309.4002131382,879503.8749558241,878889.413355957,879280.3995981658,880529.8883940382,882520.0562845992,886702.1556747528,891353.8383758574,896422.4065876426,901864.0815401616,907642.2103687316,926675.8516916885,945277.399449603,963505.4417980522,981410.3452269138,999035.6657102379
All_0.75,50.0,Mideast+Africa,245722.47244602663,256403.05120862974,269798.62441566814,281988.92359131656,293217.86075730954,303669.4208359149,313485.0194997317,344021.73578128667,371225.65831807954,395789.45084070764,418229.23396780755,438937.4935319415,476880.09388656204,511737.4185215511,544030.5720546203,574172.4933854926,602494.6679837507,643691.2275639209,682510.9767355629,719280.6532852144,754272.3594906995,787714.5521880052,845883.3381493445,901363.8768176099,954472.0704702126,1005479.1142959304,1054619.166405619
All_0.75,50.0,OECD+EU,3484255.9983094623,3493302.8140516756,3467343.657199437,3449643.2305880305,3438625.854991481,3433103.8475126005,3432165.1462875297,3397521.926920336,3372448.548780983,3355036.237450123,3343863.4510807553,3337849.8677674346,3341421.523290217,3348518.326910507,3358601.7172659677,3371245.4419419793,3386107.826595804,3397096.4267693628,3410242.5608827267,3425296.1898463597,3442049.5057019466,3460328.4404956456,3484408.0458306237,3509533.1772942245,3535618.646914378,3562591.659506324,3590389.6895840736
All_0.75,50.0,E. Europe+Russia,277853.67023821763,276789.3233395755,279641.38022080925,282566.65376014024,285555.6531674785,288601.2676500678,291698.0774718162,301374.97476294765,310289.7066259039,318604.7463807874,326441.19405327097,333891.17589211004,342280.04561269196,350260.9167394749,357906.7840562299,365275.52815594384,372413.6483283076,380443.134250654,388230.0464732849,395811.4117578271,403218.0986971194,410476.05674396787,421648.50369947794,432483.1013567638,443022.6665816583,453303.9845690443,463358.84389577265
All_1.0,50.0,Asia,4110455.5378154577,4220777.879655115,4379562.345870708,4528722.133326425,4670323.558297637,4805926.873620414,4936732.870211761,5075858.839963712,5208222.81139219,5335392.9850454135,5458539.92881283,5578555.769589795,5670470.634695342,5762440.090344808,5854603.578857541,5947073.4176280415,6039941.519401651,6121329.334716662,6204010.485856055,6287936.784869392,6373069.650661525,6459378.194932176,6495478.411044941,6535246.812856868,6578366.876168013,6624568.168707422,6673618.4574957965
All_1.0,50.0,Latin America,995978.1151765023,995195.678335846,975934.7863829051,960709.0395499641,948743.3809826107,939453.6089094192,932391.1000023753,925087.3604630203,920468.2909817945,918007.4484626617,917312.9223686508,918087.020469569,919440.9832071965,922016.3776305581,925631.3629965782,930142.1251272513,935433.4886708485,943057.295307643,951199.4444050079,959808.759878114,968842.8566294704,978266.3749336507,1002052.9551491812,1025493.5318759091,1048647.0021170897,1071564.1557004312,1094289.0689914953
