Dem_scenarios,Region,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
All_1.0,OECD+EU,9533311.222630475,9466238.635966847,9462649.35444203,9464151.7948662,9470356.304618897,9480919.26593634,9495536.618739448,9564091.322036887,9634372.241996152,9706325.69140982,9779903.874338789,9855064.225321677,9878556.6411095,9906078.015926318,9937351.287245257,9972131.671213042,10010202.23533211,10021833.410875075,10037653.271538604,10057388.620093126,10080795.804250963,10107656.94371283,10177213.847095573,10249045.855259836,10323044.552944329,10399114.82636512,10477173.059663866
All_1.0,E. Europe+Russia,1507440.1985133437,1515408.1818671841,1511970.5978372267,1509468.9105572451,1507829.11219371,1506985.9030976295,1506881.466134495,1514607.415725607,1522700.0681762,1531143.3572345888,1539922.8438571158,1549025.532307832,1558882.7800075242,1569123.3368261352,1579727.2190531602,1590676.873538441,1601956.8455095254,1617139.4355596558,1632512.3781966087,1648074.596093452,1663825.3065057176,1679763.9857281006,1692086.0816631296,1704755.680172783,1717757.6317016792,1731078.6778448534,1744707.1952820844
All_1.25,Asia,14021785.64034378,14319352.362206744,14590517.581371892,14860478.216473324,15129611.264730483,15398254.241892882,15666710.809471939,15842023.619670969,16020287.953682581,16201489.172355153,16385617.090342393,16572665.514645666,16784533.33517634,16998822.516037688,17215582.18252145,17434860.00273935,17656702.449199237,17834523.83779555,18016440.859192587,18202360.744995862,18392204.226222295,18585903.86077851,18732851.71230681,18885714.095215697,19044228.605303895,19208166.240325116,19377326.895692993
All_1.25,Latin America,1583568.1885069385,1617022.2126813834,1648821.617462346,1680441.0082315514,1711927.4179448264,1743322.9120806258,1774665.2959541788,1811384.0535131728,1848023.393535921,1884618.8251823473,1921203.0171529267,1957806.1284754546,2000046.1749978103,2041957.8698574703,2083608.2550530285,2125057.3964469307,2166359.352127063,2220820.955385601,2274767.5690988847,2328284.6717903744,2381449.4511918905,2434331.876192107,2481101.143169187,2527674.5974208564,2574114.1626684857,2620475.5161036435,2666808.952294422
All_1.25,Mideast+Africa,2136131.1554832133,2196810.673720516,2237933.3473419575,2278889.0790950237,2319733.895128351,2360517.9711991707,2401286.466801612,2471620.7337726657,2541340.767787302,2610540.1392906415,2679304.4783505513,2747712.3914195476,2842702.728225684,2935957.5425886502,3027697.977365591,3118121.2684030156,3207404.048547995,3356143.0524893156,3501996.7716761045,3645293.8429611763,3786329.875532333,3925371.7025339776,4081481.8169381893,4234430.7751047965,4384600.7549702525,4532332.720393143,4677932.076875044
All_1.25,OECD+EU,9533311.222630475,9489669.91971924,9509552.129462516,9534604.249630932,9564470.924202878,9598839.697001029,9637434.99121951,9731041.41763242,9826812.89185047,9924709.02146006,10024694.978576552,10126740.892491912,10176006.871632462,10229615.243483689,10287310.681859141,10348868.673696704,10414091.310752647,10451999.183377853,10494410.20169233,10541070.93016847,10591756.302856347,10646266.016692998,10746062.903660148,10848696.823110068,10954072.126774823,11062106.270243498,11172728.058125982
All_1.25,E. Europe+Russia,1507440.1985133437,1519159.1922183402,1519464.864414341,1520705.605872877,1522813.6342884647,1525729.2783249824,1529399.8383076766,1541046.2946876327,1553115.0639115453,1565592.663364211,1578467.1300006465,1591727.851070778,1605821.827797347,1620371.6525850154,1635359.7880602053,1650771.0296341614,1666592.1899297151,1686551.688390297,1706798.7997466873,1727334.1890082967,1748158.8278578632,1769273.961008895,1786664.1838472374,1804497.4910691762,1822760.8044771338,1841442.9128066269,1860534.2226319797
All_1.5,Asia,14021785.64034378,14354708.78779244,14662658.473056037,14970827.85317628,15279593.873704426,15589297.24177509,15900247.666829156,16117872.98352993,16339486.387055345,16565098.71010045,16794725.323985305,17028385.720441356,17288662.459315702,17552620.94456867,17820334.795272157,18091876.725869264,18367318.803128798,18598104.979079105,18834200.393119168,19075543.209802512,19322084.983885482,19573789.068746045,19777260.012854174,19987876.11841467,20205408.482020278,20429661.215713225,20660467.067015093
All_1.5,Latin America,1583568.1885069385,1621014.860120103,1656973.9986954622,1692919.47978932,1728898.0681502242,1764951.9638974979,1801119.4611659017,1842924.7929326894,1884844.5901185507,1926915.2692042906,1969170.693224163,2011642.4779141392,2060118.2369553987,2108482.0693063824,2156801.6866101427,2205138.237179646,2253547.2281497205,2315904.9068901557,2378018.4210088756,2439974.4342869436,2501851.7690855595,2563722.433131817,2619429.394960188,2675188.5825546132,2731065.101874752,2787118.059488565,2843401.4056472597
All_1.5,Mideast+Africa,2136131.1554832133,2202234.8976062457,2248998.5139000686,2295811.453886819,2342729.8423228236,2389804.4362366726,2437081.40180049,2514657.849704321,2591976.061864995,2669128.4136902983,2746200.068335721,2823269.8239507535,2928084.2641880554,3031607.0307685095,3134055.5924040675,3235624.8111768584,3336490.0869583804,3499835.5651483713,3660951.099570287,3820161.636613513,3977760.725805462,4134014.5896249274,4309035.718159908,4481550.305065689,4651942.124874254,4820555.009573707,4987698.361918661
All_1.5,OECD+EU,9533311.222630475,9513101.203471633,9556570.856955236,9605405.478213666,9659285.277167214,9717930.543424025,9781096.051170466,9900483.254684472,10022608.578494474,10147448.969693169,10274986.757816995,10405209.099038873,10481646.672810663,10562882.14129223,10648685.50770435,10738856.306693226,10833219.605972469,10899499.186053839,10970747.568347715,11046734.916584993,11127258.75023793,11212140.498599302,11345185.635593884,11481822.029779397,11621972.538250048,11765573.069585558,11912570.879161607
